,Calendar Year,Active Duty,Full-Time (est) Guard+Reserve,Selected Reserve FTE,Total Military FTE,Total Deaths,Accident ,Hostile Action,Homicide ,Illness ,Pending ,Self-Inflicted,Terrorist Attack,Undetermined ,Deaths % of Total FTE,% of Deaths Accident,% of Deaths Hostile Action,% of Deaths Homicide,% of Deaths Illness,% of Deaths Self-Inflicted
0,1980,2050758.0,22000.0,86872.0,2159630.0,2392.0,1556.0,0.0,174.0,419.0,0.0,231.0,1.0,11.0,0.001107597134694369,0.6505016722408027,0.0,0.07274247491638795,0.17516722408026755,0.09657190635451506
1,1981,2093032.0,22000.0,91719.0,2206751.0,2380.0,1524.0,0.0,145.0,457.0,0.0,241.0,0.0,13.0,0.0010785086310145548,0.6403361344537815,0.0,0.06092436974789916,0.1920168067226891,0.10126050420168067
2,1982,2112609.0,41000.0,97458.0,2251067.0,2319.0,1493.0,0.0,108.0,446.0,0.0,254.0,2.0,16.0,0.001030178133303007,0.64381198792583,0.0,0.04657179818887452,0.1923242777059077,0.10952996981457525
3,1983,2123909.0,49000.0,100455.0,2273364.0,2465.0,1413.0,18.0,115.0,419.0,0.0,218.0,263.0,19.0,0.0010842962235700045,0.5732251521298174,0.007302231237322515,0.04665314401622718,0.16997971602434078,0.08843813387423935
4,1984,2138339.0,55000.0,104583.0,2297922.0,1999.0,1293.0,1.0,84.0,374.0,0.0,225.0,6.0,16.0,0.0008699163853255245,0.6468234117058529,0.0005002501250625312,0.04202101050525263,0.1870935467733867,0.11255627813906953
5,1985,2150379.0,64000.0,108806.0,2323185.0,2252.0,1476.0,0.0,111.0,363.0,0.0,275.0,5.0,22.0,0.0009693588758536234,0.655417406749556,0.0,0.049289520426287745,0.16119005328596803,0.12211367673179396
6,1986,2177845.0,69000.0,113010.0,2359855.0,1984.0,1199.0,2.0,103.0,384.0,0.0,269.0,0.0,27.0,0.0008407296210996015,0.6043346774193549,0.0010080645161290322,0.051915322580645164,0.1935483870967742,0.13558467741935484
7,1987,2166611.0,71000.0,115086.0,2352697.0,1983.0,1172.0,37.0,104.0,383.0,0.0,260.0,2.0,25.0,0.0008428624680526222,0.5910237014624307,0.018658598083711547,0.052445789208270296,0.19314170448814927,0.13111447302067575
8,1988,2121659.0,72000.0,115836.0,2309495.0,1819.0,1080.0,0.0,90.0,321.0,0.0,285.0,17.0,26.0,0.0007876180723491499,0.5937328202308961,0.0,0.04947773501924134,0.17647058823529413,0.15667949422759758
9,1989,2112128.0,74200.0,117056.0,2303384.0,1636.0,1000.0,23.0,58.0,294.0,0.0,224.0,0.0,37.0,0.0007102593401708096,0.6112469437652812,0.014058679706601468,0.035452322738386305,0.17970660146699266,0.13691931540342298
10,1990,2046806.0,74250.0,137268.0,2258324.0,1507.0,880.0,0.0,74.0,277.0,0.0,232.0,1.0,43.0,0.0006673090309450725,0.583941605839416,0.0,0.0491041804910418,0.1838088918380889,0.15394824153948242
11,1991,1943937.0,70250.0,184002.0,2198189.0,1787.0,931.0,147.0,112.0,308.0,0.0,256.0,0.0,33.0,0.0008129419262856833,0.5209848908785675,0.08226077224398433,0.06267487409065473,0.17235590374930052,0.14325685506435368
12,1992,1773996.0,67850.0,111491.0,1953337.0,1293.0,676.0,0.0,109.0,252.0,0.0,238.0,1.0,17.0,0.0006619441499341896,0.522815158546017,0.0,0.0843000773395205,0.19489559164733178,0.1840680587780356
13,1993,1675269.0,68500.0,105768.0,1849537.0,1213.0,632.0,0.0,86.0,221.0,0.0,236.0,29.0,9.0,0.0006558398128828998,0.5210222588623248,0.0,0.07089859851607584,0.18219291014014838,0.19455894476504534
14,1994,1581649.0,65000.0,99833.0,1746482.0,1075.0,544.0,0.0,83.0,206.0,0.0,232.0,0.0,10.0,0.0006155230915634973,0.5060465116279069,0.0,0.07720930232558139,0.19162790697674417,0.2158139534883721
15,1995,1502343.0,65000.0,94585.0,1661928.0,1040.0,538.0,0.0,67.0,174.0,0.0,250.0,7.0,4.0,0.0006257792154654113,0.5173076923076924,0.0,0.06442307692307692,0.1673076923076923,0.2403846153846154
16,1996,1456266.0,65000.0,92409.0,1613675.0,974.0,527.0,1.0,52.0,173.0,0.0,188.0,19.0,14.0,0.000603591181619595,0.5410677618069816,0.001026694045174538,0.053388090349075976,0.17761806981519507,0.19301848049281314
17,1997,1418773.0,65000.0,94609.0,1578382.0,817.0,433.0,0.0,42.0,170.0,0.0,159.0,0.0,13.0,0.000517618675327012,0.5299877600979193,0.0,0.051407588739290085,0.20807833537331702,0.19461444308445533
18,1998,1381034.0,65000.0,92536.0,1538570.0,827.0,445.0,0.0,26.0,174.0,0.0,165.0,3.0,14.0,0.0005375121053965696,0.5380894800483675,0.0,0.03143893591293833,0.21039903264812576,0.19951632406287786
19,1999,1367838.0,65000.0,93104.0,1525942.0,796.0,439.0,0.0,38.0,154.0,0.0,150.0,0.0,15.0,0.0005216449904386929,0.5515075376884422,0.0,0.04773869346733668,0.1934673366834171,0.1884422110552764
20,2000,1372352.0,65000.0,93078.0,1530430.0,832.0,429.0,0.0,37.0,180.0,0.0,153.0,17.0,16.0,0.0005436380625053089,0.515625,0.0,0.04447115384615385,0.21634615384615385,0.18389423076923078
21,2001,1384812.0,65000.0,102284.0,1552096.0,943.0,461.0,12.0,49.0,197.0,0.0,153.0,46.0,25.0,0.0006075655114116653,0.48886532343584305,0.012725344644750796,0.051961823966065745,0.20890774125132555,0.16224814422057265
22,2002,1411200.0,66000.0,149942.0,1627142.0,1051.0,565.0,17.0,54.0,213.0,0.0,174.0,0.0,28.0,0.0006459178117214109,0.5375832540437678,0.016175071360608945,0.05137963843958135,0.20266412940057088,0.16555661274976213
23,2003,1423348.0,66000.0,243284.0,1732632.0,1399.0,597.0,312.0,46.0,231.0,1.0,190.0,0.0,22.0,0.0008074420881064184,0.4267333809864189,0.22301644031451037,0.032880629020729094,0.1651179413867048,0.13581129378127232
24,2004,1411287.0,66000.0,234629.0,1711916.0,1847.0,605.0,735.0,46.0,256.0,0.0,197.0,0.0,8.0,0.0010789080772654733,0.3275582024905252,0.3979426096372496,0.02490525175961018,0.13860314022739578,0.10665944775311316
25,2005,1378014.0,66000.0,220000.0,1664014.0,1929.0,646.0,739.0,54.0,280.0,1.0,182.0,0.0,27.0,0.0011592450544286286,0.33488854328667705,0.3831000518403318,0.027993779160186624,0.14515292897874546,0.09434940383618455
26,2006,1371533.0,72000.0,168000.0,1611533.0,1882.0,561.0,769.0,47.0,257.0,8.0,213.0,0.0,27.0,0.0011678321200993091,0.29808714133900105,0.4086078639744952,0.02497343251859724,0.1365568544102019,0.11317747077577045
27,2007,1368226.0,72000.0,168000.0,1608226.0,1953.0,561.0,847.0,52.0,237.0,22.0,211.0,0.0,23.0,0.0012143815608005343,0.2872503840245776,0.4336917562724014,0.026625704045058884,0.12135176651305683,0.1080389144905274
28,2008,1402227.0,73000.0,207917.0,1683144.0,1440.0,506.0,352.0,47.0,244.0,6.0,259.0,1.0,25.0,0.0008555417718270095,0.35138888888888886,0.24444444444444444,0.03263888888888889,0.16944444444444445,0.1798611111111111
29,2009,1421668.0,75000.0,144083.0,1640751.0,1515.0,467.0,346.0,77.0,277.0,19.0,302.0,0.0,27.0,0.0009233576575604708,0.30825082508250823,0.22838283828382838,0.050825082508250824,0.18283828382838282,0.19933993399339933
